Iter 10: Train loss 5.32247772, Learning Rate 1.000e-05, It/sec 3.233, Tokens/sec 106.689, Trained Tokens 330, Peak mem 3.481 GB
Iter 20: Train loss 1.35989151, Learning Rate 1.000e-05, It/sec 3.897, Tokens/sec 128.592, Trained Tokens 660, Peak mem 3.481 GB
Iter 30: Train loss 1.82082539, Learning Rate 1.000e-05, It/sec 4.169, Tokens/sec 137.561, Trained Tokens 990, Peak mem 3.481 GB
Iter 40: Train loss 6.70699387, Learning Rate 1.000e-05, It/sec 4.097, Tokens/sec 135.207, Trained Tokens 1320, Peak mem 3.481 GB
Iter 50: Train loss 5.38222275, Learning Rate 1.000e-05, It/sec 4.015, Tokens/sec 132.490, Trained Tokens 1650, Peak mem 3.481 GB
Iter 60: Train loss 4.02634010, Learning Rate 1.000e-05, It/sec 4.039, Tokens/sec 133.292, Trained Tokens 1980, Peak mem 3.481 GB
Iter 70: Train loss 2.19158764, Learning Rate 1.000e-05, It/sec 4.150, Tokens/sec 136.953, Trained Tokens 2310, Peak mem 3.481 GB
Iter 80: Train loss 1.64328823, Learning Rate 1.000e-05, It/sec 3.945, Tokens/sec 130.177, Trained Tokens 2640, Peak mem 3.481 GB
Iter 90: Train loss 1.16738424, Learning Rate 1.000e-05, It/sec 4.168, Tokens/sec 137.558, Trained Tokens 2970, Peak mem 3.481 GB
Iter 100: Train loss 0.92781677, Learning Rate 1.000e-05, It/sec 4.072, Tokens/sec 134.380, Trained Tokens 3300, Peak mem 3.481 GB
Iter 110: Train loss 0.80724096, Learning Rate 1.000e-05, It/sec 4.171, Tokens/sec 137.635, Trained Tokens 3630, Peak mem 3.481 GB
Iter 120: Train loss 0.76265211, Learning Rate 1.000e-05, It/sec 3.934, Tokens/sec 129.824, Trained Tokens 3960, Peak mem 3.481 GB
Iter 130: Train loss 0.74224453, Learning Rate 1.000e-05, It/sec 4.143, Tokens/sec 136.717, Trained Tokens 4290, Peak mem 3.481 GB
Iter 140: Train loss 0.73339844, Learning Rate 1.000e-05, It/sec 4.055, Tokens/sec 133.817, Trained Tokens 4620, Peak mem 3.481 GB
Iter 150: Train loss 0.72945571, Learning Rate 1.000e-05, It/sec 4.008, Tokens/sec 132.258, Trained Tokens 4950, Peak mem 3.481 GB
Iter 160: Train loss 0.72749844, Learning Rate 1.000e-05, It/sec 4.046, Tokens/sec 133.523, Trained Tokens 5280, Peak mem 3.481 GB
Iter 170: Train loss 0.72604532, Learning Rate 1.000e-05, It/sec 4.202, Tokens/sec 138.672, Trained Tokens 5610, Peak mem 3.481 GB
Iter 180: Train loss 0.72516093, Learning Rate 1.000e-05, It/sec 3.940, Tokens/sec 130.032, Trained Tokens 5940, Peak mem 3.481 GB
Iter 190: Train loss 0.72435207, Learning Rate 1.000e-05, It/sec 4.126, Tokens/sec 136.157, Trained Tokens 6270, Peak mem 3.481 GB
Iter 200: Train loss 0.72379661, Learning Rate 1.000e-05, It/sec 3.961, Tokens/sec 130.704, Trained Tokens 6600, Peak mem 3.481 GB
Iter 210: Train loss 0.72345228, Learning Rate 1.000e-05, It/sec 3.896, Tokens/sec 128.578, Trained Tokens 6930, Peak mem 3.481 GB
Iter 220: Train loss 0.72303329, Learning Rate 1.000e-05, It/sec 3.701, Tokens/sec 122.145, Trained Tokens 7260, Peak mem 3.481 GB
Iter 230: Train loss 0.72268620, Learning Rate 1.000e-05, It/sec 4.134, Tokens/sec 136.431, Trained Tokens 7590, Peak mem 3.481 GB
Iter 240: Train loss 0.72233582, Learning Rate 1.000e-05, It/sec 4.066, Tokens/sec 134.171, Trained Tokens 7920, Peak mem 3.481 GB
Iter 250: Train loss 0.72213221, Learning Rate 1.000e-05, It/sec 3.930, Tokens/sec 129.706, Trained Tokens 8250, Peak mem 3.481 GB
Iter 260: Train loss 0.72182655, Learning Rate 1.000e-05, It/sec 3.944, Tokens/sec 130.156, Trained Tokens 8580, Peak mem 3.481 GB
Iter 270: Train loss 0.72152033, Learning Rate 1.000e-05, It/sec 4.104, Tokens/sec 135.448, Trained Tokens 8910, Peak mem 3.481 GB
Iter 280: Train loss 0.72130003, Learning Rate 1.000e-05, It/sec 3.882, Tokens/sec 128.110, Trained Tokens 9240, Peak mem 3.481 GB
Iter 290: Train loss 0.72102308, Learning Rate 1.000e-05, It/sec 4.123, Tokens/sec 136.055, Trained Tokens 9570, Peak mem 3.481 GB
Iter 300: Train loss 0.72085075, Learning Rate 1.000e-05, It/sec 4.028, Tokens/sec 132.918, Trained Tokens 9900, Peak mem 3.481 GB
Iter 310: Train loss 0.72062540, Learning Rate 1.000e-05, It/sec 3.809, Tokens/sec 125.698, Trained Tokens 10230, Peak mem 3.481 GB
Iter 320: Train loss 0.72034917, Learning Rate 1.000e-05, It/sec 4.048, Tokens/sec 133.597, Trained Tokens 10560, Peak mem 3.481 GB
Iter 330: Train loss 0.72001543, Learning Rate 1.000e-05, It/sec 4.144, Tokens/sec 136.736, Trained Tokens 10890, Peak mem 3.481 GB
Iter 340: Train loss 0.71969271, Learning Rate 1.000e-05, It/sec 3.917, Tokens/sec 129.275, Trained Tokens 11220, Peak mem 3.481 GB
Iter 350: Train loss 0.71953325, Learning Rate 1.000e-05, It/sec 4.115, Tokens/sec 135.807, Trained Tokens 11550, Peak mem 3.481 GB
Iter 360: Train loss 0.71916175, Learning Rate 1.000e-05, It/sec 4.045, Tokens/sec 133.499, Trained Tokens 11880, Peak mem 3.481 GB
